"reachNumber","reachID","length","width","depth","localArea","localPET","localCin","d","connect","order"
5469,9978405,1966,4.39664641338916,0.192266728712738,7791300,0.005,10,0.1,"0",1
5470,9978757,3411,4.62607269493375,0.199235982645603,8820900,0.005,10,0.1,"0",1
5473,9978455,1599,5.16130144272798,0.215105005295326,11525400,0.005,10,0.1,"0",1
5474,9978869,1158,2.59204772680128,0.132821736742438,2129400,0.005,10,0.1,"0",1
5475,9978507,1704,4.14790200845751,0.184586102775615,6705000,0.005,10,0.1,"0",1
5479,9978531,461,4.18717205631186,0.185807664217206,6870600,0.005,10,0.1,"0",1
5481,9978517,1023,2.84764598315886,0.141859771842058,2697300,0.005,10,0.1,"0",1
5483,9978809,960,4.66674956081852,0.200460682970277,9159300,0.005,10,0.1,"0",1
5485,9978511,510,4.29716101584637,0.189210920250202,7433100,0.005,10,0.1,"0",1
5487,9978785,3026,3.12527114567505,0.151405081244243,3397500,0.005,10,0.1,"0",1
5488,9978487,3793,5.32599027457791,0.219886880129137,12496500,0.005,10,0.1,"0",1
5500,9976327,2579,6.01978749288233,0.239566380404539,11351700,0.005,10,0.1,"0",1
5501,9976363,1435,5.01332508547527,0.210769209118528,7233300,0.005,10,0.1,"0",1
5503,9977549,150,3.80664951610444,0.173819735102881,3762000,0.005,10,0.1,"0",1
5506,9976837,256,2.61294785106977,0.133570508252709,1764900,0.005,10,0.1,"0",1
5524,9977389,115,4.5676405546669,0.197471035330875,6783300,0.005,10,0.1,"0",1
5525,9978837,342,4.25999265805217,0.188063820450322,7102800,0.005,10,0.1,"0",1
5557,20103585,900,7.63474901530907,0.282927651226457,31376700,0.005,10,0.1,"0",1
5575,20103745,1035,4.03526810473323,0.181063009766869,6130800,0.005,10,0.1,"0",1
5576,20103651,1053,5.36466749746027,0.221003435904188,12958200,0.005,10,0.1,"0",1
5584,20103633,2027,5.84609343945483,0.234706482997919,16037100,0.005,10,0.1,"0",1
5587,20103611,2430,6.50775152121583,0.253000123181461,20686500,0.005,10,0.1,"0",1
5588,20103617,483,4.0451359438084,0.181372836062792,6626700,0.005,10,0.1,"0",1
5594,20103915,9256,7.44783387285461,0.278060977811975,29412900,0.005,10,0.1,"0",1
5604,20103463,1118,5.71604746247868,0.231039447505345,15215400,0.005,10,0.1,"0",1
5610,20103529,872,2.88544338721562,0.143175216811558,2760300,0.005,10,0.1,"0",1
5611,20103517,452,3.17451199631256,0.153071007178649,3489300,0.005,10,0.1,"0",1
5612,20103507,566,3.3567956064285,0.159171931976179,4046400,0.005,10,0.1,"0",1
5617,20103535,210,3.32621016826886,0.158155332586778,3923100,0.005,10,0.1,"0",1
5628,20104123,4137,6.86436335056408,0.262626921974691,22952700,0.005,10,0.1,"0",1
5629,20103619,2105,8.09110386081693,0.294662250969994,35373600,0.005,10,0.1,"0",1
5630,20103939,394,8.48724780066857,0.304688369428279,40413600,0.005,10,0.1,"0",1
5646,166741790,5628,5.07810585579324,0.212671984585,11304900,0.005,10,0.1,"0",1
5653,22726337,592,5.8209548550983,0.233999549196721,15612300,0.005,10,0.1,"0",1
4734,11728390,1882,7.28456139152775,0.273779826779955,20411100,0.005,10,0.1,"11727404",1
4996,11727620,2655,7.65990825590835,0.283579972853773,22523400,0.005,10,0.1,"11727614",1
4835,11727634,4167,9.71193419071739,0.334836713524478,8054100,0.005,10,0.1,"11727616,11727620",2
4998,11727636,1352,5.8333143092879,0.234347229356293,11385000,0.005,10,0.1,"11727630",1
4834,11727700,4430,11.2569010500714,0.371289145509754,6409800,0.005,10,0.1,"11727634,11727636",2
4767,11727660,1335,5.82736797968439,0.234179982526397,11364300,0.005,10,0.1,"11727650",1
4769,11727680,3386,7.87233294800399,0.289062315023128,23959800,0.005,10,0.1,"11727654",1
4766,11727658,1008,6.28065689884721,0.246787186875321,13682700,0.005,10,0.1,"11727660",1
4768,11727698,896,9.06524555448664,0.319069109127865,33988500,0.005,10,0.1,"11727680",1
4771,11727740,2846,7.30738186495481,0.27437991745334,19895400,0.005,10,0.1,"11727684",1
4833,11727714,436,13.5710492163079,0.423202726329671,245700,0.005,10,0.1,"11727698,11727700",2
4981,11727720,1002,4.23235368998227,0.187208872035367,5224500,0.005,10,0.1,"11727710",1
4832,11727738,2369,14.0750903837956,0.434145089937398,4156200,0.005,10,0.1,"11727714",2
4843,11727728,617,4.91566556566007,0.207886692082071,7444800,0.005,10,0.1,"11727724",1
4842,11727764,2715,6.10430860735385,0.241916001720593,12743100,0.005,10,0.1,"11727728",1
4831,11727748,938,15.1916240857139,0.457975243983299,1122300,0.005,10,0.1,"11727740,11727738",2
4830,11727800,2671,15.6264213586363,0.467111683872249,3816900,0.005,10,0.1,"11727748",2
4841,11727786,662,6.73640273418103,0.259190267194123,16272000,0.005,10,0.1,"11727764",1
4994,11727772,632,3.83126313626366,0.174605711453786,4030200,0.005,10,0.1,"11727770",1
4867,11727842,4597,7.26231729705236,0.273194349630748,19953900,0.005,10,0.1,"11727778",1
4840,11727814,1136,7.80546920175696,0.287341509612375,23470200,0.005,10,0.1,"11727786",1
4829,11727830,1266,16.1090311229555,0.477163981126066,864900,0.005,10,0.1,"11727800,11727804",2
4839,11727826,255,8.01821129552251,0.292801506286427,25096500,0.005,10,0.1,"11727814",1
4992,11727850,1765,4.64553378538996,0.19982231909965,6503400,0.005,10,0.1,"11727820",1
4838,11727832,443,8.15936348253346,0.296400174712525,26217900,0.005,10,0.1,"11727826",1
4837,11727862,2283,8.7741060923326,0.311861006315937,31441500,0.005,10,0.1,"11727832",1
4866,11727848,1772,7.77696486773215,0.286606578722925,23617800,0.005,10,0.1,"11727842",1
4865,11727846,425,8.1108532831841,0.295165531690327,118800,0.005,10,0.1,"11727848,11727864",2
4990,11727882,2104,6.4108675779648,0.250357625201342,14438700,0.005,10,0.1,"11727850",1
4988,11727884,705,6.70935003123732,0.258461210437395,16170300,0.005,10,0.1,"11727882",1
4987,11730344,62,6.73115424175418,0.259048891734327,16303500,0.005,10,0.1,"11727884",1
4966,11729542,1543,4.22237098136176,0.186899668328939,5249700,0.005,10,0.1,"11727900",1
4733,11728404,1961,8.0937215769029,0.294728980218556,1810800,0.005,10,0.1,"11728390,11728388",2
4732,11728420,2499,10.0144590069802,0.342104119769592,5168700,0.005,10,0.1,"11728404,11728406",2
4961,11728434,1527,5.62814971822271,0.22854672811336,10879200,0.005,10,0.1,"11728414",1
4731,11728436,2559,10.5352383375347,0.354462351702815,3393000,0.005,10,0.1,"11728420",2
4960,11728444,1151,7.05316228194332,0.267662649414188,19047600,0.005,10,0.1,"11728434",1
4730,11728452,2712,11.3760656028969,0.37403610036944,5500800,0.005,10,0.1,"11728436",2
4725,11728462,2733,8.47252386587316,0.304318265236264,2671200,0.005,10,0.1,"11728442,11728444",2
4729,11728474,1555,11.6643126969897,0.380645295469992,1620900,0.005,10,0.1,"11728452",2
4957,11728464,1363,7.79322691706998,0.287025964032987,1638000,0.005,10,0.1,"11728466,11729104",2
4728,11728480,1457,11.7896055237437,0.383502810273001,892800,0.005,10,0.1,"11728474",2
4727,11728506,3187,12.1164905138299,0.390915464752931,2518200,0.005,10,0.1,"11728480",2
4721,11728522,1200,5.44139133242231,0.223211225208022,9931500,0.005,10,0.1,"11728528",1
4714,11728668,106,3.54459492463568,0.165354373771841,3369600,0.005,10,0.1,"11728666",1
4713,11728662,1783,4.75031097926676,0.20296655861544,6967800,0.005,10,0.1,"11728668",1
4691,11728654,1937,6.13937244885186,0.242887880772456,3382200,0.005,10,0.1,"11728684,11728652",2
4938,11729138,1398,6.64601569699157,0.256750922602551,16758900,0.005,10,0.1,"11728744",1
4913,11728806,4473,6.30371235226119,0.24742098423282,4245300,0.005,10,0.1,"11728768,11728770",2
4643,11729238,339,4.0360283524477,0.181086887782458,4725000,0.005,10,0.1,"11728774",1
4892,11728816,1363,6.28808031329331,0.246991333555299,14259600,0.005,10,0.1,"11728814",1
4931,11728830,1437,5.00034262900436,0.210386996459068,8252100,0.005,10,0.1,"11728840",1
4861,11728850,548,5.57692092657358,0.227088530375383,11091600,0.005,10,0.1,"11728854",1
4929,11728894,1017,5.11391172691736,0.213720567170948,8651700,0.005,10,0.1,"11728890",1
4624,11728902,1002,5.80073551319166,0.233430286915053,11842200,0.005,10,0.1,"11728894",1
4623,11728920,1311,6.8056037111975,0.261051214843512,17641800,0.005,10,0.1,"11728902",1
4844,11728916,1895,6.04466259804968,0.240258910870741,13517100,0.005,10,0.1,"11728904",1
